,Response Metric,Performance Metric,Correlation
94,DLS_mistake_slope_up,d_prime,-0.17437894632205828
458,DLS_hit_slope_down,total_mistakes,0.17225750783579813
158,DLS_hit_slope_down,false_alarm_rate,0.17094758570244792
218,VS_mistake_slope_down,false_alarm_rate,-0.17027721452867567
382,DLS_hit_peak_timing,total_hits,-0.16990556327529494
141,VS_mistake_maximal_value,d_prime,0.1663924523194856
475,DMS_cor_reject_auc,total_mistakes,0.1661690615610305
154,DLS_cor_reject_slope_up,false_alarm_rate,0.16402602953742698
69,VS_mistake_slope_up,c_score,-0.16356043289102234
472,DLS_reward_collect_peak_timing,total_mistakes,-0.16188584832026118
146,VS_reward_collect_maximal_value,d_prime,-0.16002421753855658
457,DLS_hit_peak_timing,total_mistakes,0.1595968525420082
46,DMS_reward_collect_maximal_value,c_score,-0.15381175452438572
157,DLS_hit_peak_timing,false_alarm_rate,0.15118718249745516
83,DLS_hit_slope_down,d_prime,0.1489595628812718
118,DMS_mistake_slope_down,d_prime,-0.14833954689129872
454,DLS_cor_reject_slope_up,total_mistakes,0.14785587420343824
100,DMS_cor_reject_auc,d_prime,0.14731326174910397
483,DMS_hit_slope_down,total_mistakes,0.1466332530293678
293,VS_mistake_slope_down,hit_rate,-0.1456898556304898
309,DLS_hit_slope_up,participation,0.14480285824950964
325,DMS_cor_reject_auc,participation,0.1446625247810203
232,DLS_hit_peak_timing,hit_rate,-0.14452623126488576
362,VS_miss_peak_timing,participation,-0.14406421956536336
109,DMS_hit_slope_up,d_prime,-0.14356802825019793
498,DMS_reward_collect_slope_down,total_mistakes,-0.13541017854332557
481,DMS_hit_maximal_value,total_mistakes,0.13293169853507766
477,DMS_cor_reject_peak_timing,total_mistakes,-0.13063915541237772
0,DLS_cor_reject_auc,c_score,-0.1305526857964975
333,DMS_hit_slope_down,participation,0.12824579717415385
463,DLS_miss_slope_down,total_mistakes,-0.12811264682546356
7,DLS_hit_peak_timing,c_score,0.12718732791600595
149,VS_reward_collect_slope_up,d_prime,-0.12692274273489018
517,VS_mistake_peak_timing,total_mistakes,0.12596395343676783
294,VS_mistake_slope_up,hit_rate,0.12481790383845115
132,VS_hit_peak_timing,d_prime,0.12405592214140122
163,DLS_miss_slope_down,false_alarm_rate,-0.12111672726923385
298,VS_reward_collect_slope_down,hit_rate,0.11480905074345887
124,DMS_reward_collect_slope_up,d_prime,0.1140677605618631
310,DLS_miss_auc,participation,-0.11314517774457605
400,DMS_cor_reject_auc,total_hits,0.11124047410342866
168,DLS_mistake_slope_down,false_alarm_rate,0.11087598688526182
372,VS_reward_collect_peak_timing,participation,-0.11030688422819643
164,DLS_miss_slope_up,false_alarm_rate,0.10981560724404767
484,DMS_hit_slope_up,total_mistakes,0.1086523515302245
130,VS_hit_auc,d_prime,-0.10743250736898624
106,DMS_hit_maximal_value,d_prime,-0.10601277492138422
133,VS_hit_slope_down,d_prime,-0.10589669704843219
81,DLS_hit_maximal_value,d_prime,0.10448861999970549
91,DLS_mistake_maximal_value,d_prime,-0.10369875252180157
331,DMS_hit_maximal_value,participation,0.10274214724677688
6,DLS_hit_maximal_value,c_score,0.10217332518112571
78,DLS_cor_reject_slope_down,d_prime,-0.10149163556673856
147,VS_reward_collect_peak_timing,d_prime,0.10132625977393638
375,DLS_cor_reject_auc,total_hits,-0.10099774462338705
